form	lemma	POS	morph
		
གུ་རུ་	གུ་རུ་	PROPN
མི་	མི་	PART
ཏྲ་		NON_WORD
སྙིང་ཐིག་	སྙིང་ཐིག་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
༔		PUNCT
རྣམ་དག་	རྣམ་དག་	ADJ
བདེ་ཆེན་	བདེ་ཆེན་	NOUN
སྨོན་ལམ་	སྨོན་ལམ་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	སོ་	PART
༔		PUNCT
འཕགས་པ་	འཕགས་པ་	VERB
འཇིག་རྟེན་	འཇིག་རྟེན་	NOUN
དབང་ཕྱུག་	དབང་ཕྱུག་	NOUN
ལ་	ལ་	ADP
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	ལོ་	NOUN
༔		PUNCT
མི་	མི་	PART
ཏྲ་		NON_WORD
སྙིང་ཐིག་	སྙིང་ཐིག་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
༔		PUNCT
རྣམ་དག་	རྣམ་དག་	ADJ
བདེ་ཆེན་	བདེ་ཆེན་	NOUN
ཞིང་	ཞིང་	ADP
གི་	གི་	PART
སྨོན་ལམ་	སྨོན་ལམ་	NOUN
མི་	མི་	PART
ཏྲ་		NON_WORD
ཛྭ་		NON_WORD
ཀི་	ཀི་	ADP
ས་	གིས་	PART
མཛད་པ་	མཛད་པ་	VERB
ནི་	ནི་	NO_POS
༔		PUNCT
ཨོཾ་	ཨོཾ་	X
མ་ཎི་	མ་ཎི་	OTHER
པདྨེ་		NON_WORD
ཧཱུྃ་		NON_WORD
༔		PUNCT
མགོན་པོ་	མགོན་པོ་	NOUN
འོད་	འོད་	NOUN
དཔག་མེད་པ་	དཔག་མེད་པ་	ADJ
དང་	དང་	NO_POS
༔		PUNCT
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
ཅན་	ཅན་	PART
དང་	དང་	NO_POS
མཐུ་ཆེན་	མཐུ་ཆེན་	PROPN
ཐོབ་	ཐོབ་	VERB
༔		PUNCT
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
སེམས་དཔའ་	སེམས་དཔའ་	NOUN
མ་	མ་	PART
ལུས་	ལུས་	NOUN
དགོངས་	དགོངས་	VERB
༔		PUNCT
བདག་ཅག་	བདག་ཅག་	PRON
ནམ་ཞིག་	ནམ་ཞིག་	NO_POS
འཆི་	འཆི་	VERB
འཕོ་	འཕོ་	VERB
གྱུར་པ་	གྱུར་པ་	VERB
འི་	གི་	PART
ཚེ་	ཚེ་	NOUN
༔		PUNCT
གཤིས་	གཤིས་	OTHER
ངན་	ངན་	VERB
མ་	མ་	PART
