form	lemma	POS	morph
		
༄༅། །		PUNCT
རྣམ་དག་	རྣམ་དག་	ADJ
བདེ་ཆེན་	བདེ་ཆེན་	NOUN
ཞིང་	ཞིང་	ADP
གི་	གི་	PART
སྨོན་ལམ་	སྨོན་ལམ་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	སོ་	PART
། །		PUNCT
ཨོཾ་	ཨོཾ་	X
ཨ་	ཨ་	X
མི་	མི་	PART
དྷེ་		NON_WORD
ཝ་	ཝ་	OTHER
ཧྲཱིཿ་		NON_WORD
འདི་ཉིད་	འདི་ཉིད་	OTHER
ཆག་	ཆག་	VERB
མེད་	མེད་	VERB
ཐུགས་དམ་	ཐུགས་དམ་	NOUN
མཛོད་	མཛོད་	NOUN
། །		PUNCT
ལག་པ་	ལག་པ་	NOUN
ན་	ན་	ADP
ཡང་	ཀྱང་	PART
འབད་	འབད་	VERB
ན་	ནས་	PART
བྲིས་	བྲིས་	VERB
། །		PUNCT
མང་པོ་	མང་པོ་	ADJ
འགའ་	འགའ་	DET
ལ་	ལ་	ADP
ཨེ་	ཨེ་	PART
ཕན་	ཕན་	NOUN
བསམ་	བསམ་	NOUN
། །		PUNCT
དཔེ་	དཔེ་	NOUN
གཅོད་	གཅོད་	NO_POS
འདོད་	འདོད་	VERB
མི་	མི་	PART
གདའ་	གདའ་	VERB
ན་	ན་	ADP
གཡོ་	གཡོ་	VERB
། །		PUNCT
འདི་	འདི་	DET
ལ་	ལ་	ADP
ས་	གིས་	PART
ཕན་ཡོན་	ཕན་ཡོན་	NOUN
ཆེ་བ་	ཆེ་བ་	VERB
མེད་	མེད་	VERB
། །		PUNCT
འདི་	འདི་	DET
ལ་	ལ་	ADP
ས་	གིས་	PART
ཟབ་པ་	ཟབ་པ་	VERB
འི་	གི་	PART
གདམས་པ་	གདམས་པ་	VERB
མེད་	མེད་	VERB
། །		PUNCT
ང་	ང་	PRON
ཡི་	ཡི་	ADP
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
རྩ་བ་	རྩ་བ་	NOUN
ཡིན་	ཡིན་	NO_POS
། །		PUNCT
རང་	རང་	PRON
གར་མ་	གར་མ་	ADJ
བསྐྱུར་	བསྐྱུར་	NO_POS
ཉམས་ལེན་	ཉམས་ལེན་	NOUN
འབུང་	འབུང་	NO_POS
། །		PUNCT
འདི་	འདི་	DET
ནི་	ནི་	NO_POS
མདོ་	མདོ་	NOUN
ལུགས་	ལུགས་	NOUN
ཡིན་པ་	ཡིན་པ་	AUX
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
། །		PUNCT
ལུང་	ལུང་	NOUN
མ་	མ་	PART
ཐོབ་	ཐོབ་	VERB
ཀྱང་	ཀྱང་	PART
འདོན་	འདོན་	VERB
ནི་	ནི་	NO_POS
རུང་	རུང་	SCONJ
། །		PUNCT
ཨེ་མ་ཧོ་	ཨེ་མ་ཧོ་	INTJ
།		PUNCT
འདི་	འདི་	DET
ན་	ནས་	PART
ཉི་མ་	ཉི་མ་	NOUN
ནུབ་	ནུབ་	ADV
ཀྱི་	གི་	PART
ཕྱོགས་	ཕྱོགས་	NOUN
རོལ་	རོལ་	VERB
ན་	ན་	ADP
། །		PUNCT
གྲངས་མེད་	གྲངས་མེད་	NOUN
འཇིག་རྟེན་	འཇིག་རྟེན་	NOUN
མང་པོ་	མང་པོ་	ADJ
འི་	གི་	PART
ཕ་རོལ་	ཕ་རོལ་	NOUN
ན་	ན་	ADP
། །		PUNCT
ཅུང་ཟད་	ཅུང་ཟད་	ADV
སྟེང་	སྟེང་	NOUN
དུ་	ལ་	PART
འཕགས་པ་	འཕགས་པ་	VERB
འི་	གི་	PART
ཡུལ་	ཡུལ་	NOUN
ས་	ས་	ADP
ན་	ན་	ADP
། །		PUNCT
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
དག་པ་	དག་པ་	VERB
འི་	གི་	PART
ཞིང་ཁམས་	ཞིང་ཁམས་	NOUN
བདེ་བ་	བདེ་བ་	VERB
ཅན་	ཅན་	PART
། །		PUNCT
བདག་	བདག་	PRON
གི་	གི་	PART
ཆུ་བུར་	ཆུ་བུར་	NOUN
མིག་	མིག་	NOUN
གིས་	གིས་	PART
མ་	མ་	PART
མཐོང་	མཐོང་	VERB
ཡང་	ཀྱང་	PART
། །		PUNCT
རང་སེམས་	རང་སེམས་	NOUN
གསལ་བ་	གསལ་བ་	VERB
འི་	གི་	PART
ཡིད་	ཡིད་	NOUN
ལ་	ལ་	ADP
ལམ་	གམ་	PART
མེ་	མེ་	NOUN
ར་	ལ་	PART
གསལ་	གསལ་	VERB
། །		PUNCT
དེ་	དེ་	DET
ན་	ན་	ADP
བཅོམ་ལྡན་	བཅོམ་ལྡན་	NOUN
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
འོད་	འོད་	NOUN
དཔག་མེད་	དཔག་མེད་	ADJ
། །		PUNCT
པདྨ་	པདྨ་	NOUN
རཱ་	རཱ་	NO_POS
ག་	ག་	PRON
འི་	གི་	PART
མདོག་	མདོག་	NOUN
ཅན་	ཅན་	PART
གཟི་བརྗིད་	གཟི་བརྗིད་	NOUN
འབའ་	འབའ་	VERB
། །		PUNCT
དབུ་	དབུ་	NOUN
ལ་	ལ་	ADP
གཙུག་ཏོར་	གཙུག་ཏོར་	PROPN
ཞབས་	ཞབས་	NOUN
ལ་	ལ་	ADP
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
སོགས་	སོགས་	DET
། །		PUNCT
མཚན་	མཚན་	NOUN
བཟང་	བཟང་	VERB
སོ་	སོ་	PART
གཉིས་	གཉིས་	NUM
དཔེ་བྱད་	དཔེ་བྱད་	NOUN
བརྒྱད་ཅུ་	བརྒྱད་ཅུ་	NO_POS
ས་	གིས་	PART
སྤྲ་	སྤྲ་	NO_POS
ས་	གིས་	PART
། །		PUNCT
ཞལ་	ཞལ་	NOUN
གཅིག་	གཅིག་	NUM
ཕྱག་	ཕྱག་	NOUN
གཉིས་	གཉིས་	NUM
མཉམ་བཞག་	མཉམ་བཞག་	NOUN
ལྷུང་བཟེད་	ལྷུང་བཟེད་	NOUN
འཛིན་	འཛིན་	VERB
། །		PUNCT
ཆོས་གོས་	ཆོས་གོས་	NOUN
རྣམ་	རྣམ་	NOUN
གསུམ་	གསུམ་	NUM
གསོལ་	གསོལ་	VERB
ཞིང་	ཞིང་	SCONJ
སྐྱིལ་ཀྲུང་	སྐྱིལ་ཀྲུང་	NOUN
གིས་	གིས་	PART
། །		PUNCT
པདྨ་	པདྨ་	NOUN
སྟོང་	སྟོང་	NUM
ལྡན་	ལྡན་	VERB
ཟླ་བ་	ཟླ་བ་	NOUN
འི་	གི་	PART
གདན་	གདན་	NOUN
སྟེང་	སྟེང་	NOUN
དུ་	ལ་	PART
། །		PUNCT
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
ཤིང་	ཅིང་	PART
ལ་	ལ་	ADP
སྐུ་	སྐུ་	NOUN
རྒྱབ་	རྒྱབ་	NOUN
བརྟེན་	བརྟེན་	VERB
མཛད་	མཛད་	VERB
དེ་	དེ་	DET
། །		PUNCT
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
འི་	གི་	PART
སྤྱན་	སྤྱན་	NOUN
གྱིས་	གིས་	PART
རྒྱང་	རྒྱང་	NOUN
ན་	ནས་	PART
བདག་	བདག་	PRON
ལ་	ལ་	ADP
གཟིགས་	གཟིགས་	VERB
། །		PUNCT
གཡའ་	གཡའ་	NOUN
སུ་	སུ་	ADP
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
སེམས་དཔའ་	སེམས་དཔའ་	NOUN
སྤྱན་རས་	སྤྱན་རས་	NO_POS
གཟིགས་	གཟིགས་	VERB
། །		PUNCT
སྐུ་མདོག་	སྐུ་མདོག་	NOUN
དཀར་པོ་	དཀར་པོ་	ADJ
ཕྱག་	ཕྱག་	NOUN
གཡོན་	གཡོན་	NOUN
པད་དཀར་	པད་དཀར་	OTHER
འཛིན་	འཛིན་	VERB
། །		PUNCT
གཡོན་	གཡོན་	NOUN
དུ་	ལ་	PART
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
སེམས་དཔའ་	སེམས་དཔའ་	NOUN
མཐུ་ཆེན་	མཐུ་ཆེན་	PROPN
ཐོབ་	ཐོབ་	VERB
། །		PUNCT
སྔོན་པོ་	སྔོན་པོ་	ADJ
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
ས་	གིས་	PART
མཚན་པ་	མཚན་པ་	VERB
འི་	གི་	PART
པདྨ་	པདྨ་	NOUN
གཡོན་	གཡོན་	NOUN
། །		PUNCT
གཡའ་	གཡའ་	NOUN
གཉིས་	གཉིས་	NUM
སྐྱབས་	སྐྱབས་	NOUN
སྦྱིན་	སྦྱིན་	VERB
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
བདག་	བདག་	PRON
