form	lemma	POS	morph
		
ཨོཾ་	ཨོཾ་	X
སྭ་		NON_WORD
སྟི་	སྟི་	NO_POS
།		PUNCT
རྟག་	རྟག་	VERB
བརྟན་	བརྟན་	VERB
འགྱུར་མེད་	འགྱུར་མེད་	NOUN
ཡོངས་གྲུབ་	ཡོངས་གྲུབ་	NOUN
ནམ་མཁ་	ནམ་མཁའ་	NOUN
འི་	གི་	PART
དབྱིངས་	དབྱིངས་	NOUN
། །		PUNCT
དྲི་མེད་	དྲི་མེད་	ADJ
མཚན་དཀྱིལ་	མཚན་དཀྱིལ་	NO_POS
དྭངས་མ་	དྭངས་མ་	ADJ
འི་	གི་	PART
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
སྐུ་	སྐུ་	NOUN
། །		PUNCT
རབ་འབྱམས་	རབ་འབྱམས་	ADJ
ཚེ་	ཚེ་	NOUN
ལ་	ལ་	ADP
དབང་	དབང་	NOUN
ཐོབ་	ཐོབ་	VERB
རིག་པ་	རིག་པ་	VERB
འཛིན་	འཛིན་	VERB
། །		PUNCT
ཨོ་རྒྱན་	ཨོ་རྒྱན་	PROPN
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
ར་	ལ་	PART
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
། །		PUNCT
སྔ་	སྔ་	ADV
འགྱུར་	འགྱུར་	VERB
བསྟན་པ་	བསྟན་པ་	VERB
འི་	གི་	PART
སྣང་བྱེད་	སྣང་བྱེད་	PROPN
ནམ་མཁ་	ནམ་མཁའ་	NOUN
འི་	གི་	PART
ནོར་	ནོར་	NOUN
། །		PUNCT
དྲི་མེད་	དྲི་མེད་	ADJ
དགོངས་པ་	དགོངས་པ་	VERB
འི་	གི་	PART
གསང་མཛོད་	གསང་མཛོད་	OTHER
རབ་འབྱམས་	རབ་འབྱམས་	ADJ
བདག་	བདག་	PRON
།		PUNCT
བདུད་འདུལ་	བདུད་འདུལ་	OTHER
གྲུབ་པ་	གྲུབ་པ་	VERB
འི་	གི་	PART
དགེ་མཚན་	དགེ་མཚན་	OTHER
གསལ་མཛད་པ་	གསལ་མཛད་པ་	PROPN
། །		PUNCT
གསང་	གསང་	VERB
གསུམ་	གསུམ་	NUM
བསྐལ་པ་	བསྐལ་པ་	NOUN
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
ར་	ལ་	PART
འཚོ་	འཚོ་	VERB
བཞེས་	བཞེས་	VERB
གསོལ་	གསོལ་	VERB
། །		PUNCT
གྲུབ་	གྲུབ་	VERB
རིགས་	རིགས་	NOUN
མྱུ་གུ་	མྱུ་གུ་	NOUN
སུམ་	སུམ་	NUM
ལྡན་	ལྡན་	VERB
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འཛིན་	འཛིན་	VERB
། །		PUNCT
དམ་པ་	དམ་པ་	VERB
འི་	གི་	PART
ཚུལ་	ཚུལ་	NOUN
དགུ་	དགུ་	NUM
འི་	གི་	PART
ཡོན་ཏན་	ཡོན་ཏན་	NOUN
ཟླ་མེད་པ་	ཟླ་མེད་པ་	NO_POS
། །		PUNCT
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
ར་	ལ་	PART
བསྒྱུར་བ་	བསྒྱུར་བ་	VERB
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
འི་	གི་	PART
སྲ་	སྲ་	NOUN
། །		PUNCT
ཞབས་པད་	ཞབས་པད་	NOUN
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
ཁམས་	ཁམས་	NOUN
སུ་	སུ་	ADP
བརྟན་	བརྟན་	VERB
གྱུར་ཅིག་	གྱུར་ཅིག་	NO_POS
།		PUNCT
ཅེས་པ་	ཅེས་པ་	PART
འང་	ཀྱང་	PART
ཟབ་མོ་	ཟབ་མོ་	ADJ
འི་	གི་	PART
དོན་	དོན་	NOUN
གཟིགས་	གཟིགས་	VERB
མཁའ་	མཁའ་	VERB
དབང་	དབང་	NOUN
བླ་མ་	བླ་མ་	NOUN
ཚེ་ཐར་	ཚེ་ཐར་	OTHER
རིག་འཛིན་	རིག་འཛིན་	OTHER
མཆོག་	མཆོག་	ADJ
ན་	ནས་	PART
ལྷ་རྫས་	ལྷ་རྫས་	NOUN
རབ་དཀར་	རབ་དཀར་	OTHER
གྱི་	གི་	PART
གནང་སྐྱེས་	གནང་སྐྱེས་	NO_POS
བཅའ་	བཅའ་	VERB
བཀའ་	བཀའ་	NOUN
བསྐུལ་	བསྐུལ་	VERB
སྤྱི་བོ་	སྤྱི་བོ་	NOUN
